from_x,from_y,to_x,to_y,time_cost,direction_penalty,angle_penalty,lateral_penalty,total_cost
19,145,18,145,0.1000,1.0000,1.3066,2.9048,104.3113
19,145,20,145,0.1000,0.0000,0.6482,4.7191,5.4673
19,145,19,144,0.1000,1.0000,0.0799,0.4906,100.6704
19,145,19,146,0.1000,0.0000,1.9666,2.2820,4.3486
19,145,18,144,0.1414,1.0000,0.5869,4.2532,104.9815
19,145,18,146,0.1414,0.0000,1.8347,1.8806,3.8567
19,145,20,144,0.1414,1.0000,0.0591,3.2587,103.4592
19,145,20,146,0.1414,0.0000,1.5022,5.9404,7.5840
20,145,21,145,0.1000,0.0000,0.6084,8.4716,9.1801
20,145,20,144,0.6660,1.0000,0.0952,3.2587,104.0198
20,145,20,146,0.6660,0.0000,1.9666,5.9404,8.5730
20,145,19,144,1.0766,1.0000,0.6262,0.4906,102.1934
20,145,19,146,1.0766,0.0000,1.8647,2.2820,5.2234
20,145,21,144,0.6929,1.0000,0.0591,6.8788,107.6308
20,145,21,146,0.6929,0.0000,1.4563,9.8168,11.9660
19,146,18,146,0.6660,1.0000,1.2008,1.8806,103.7475
19,146,20,146,0.6660,0.0000,0.7436,5.9404,7.3500
19,146,19,147,0.1000,0.0000,1.9902,2.8490,4.9392
19,146,18,145,1.0766,1.0000,0.5437,2.9048,104.5251
19,146,18,147,0.6929,0.0000,1.7991,1.6579,4.1499
19,146,20,147,0.6929,0.0000,1.6012,6.7442,9.0384
18,146,17,146,0.4120,1.0000,1.2008,5.7690,107.3819
18,146,18,145,0.6402,1.0000,0.0482,2.9048,103.5931
18,146,18,147,0.4120,0.0000,1.9902,1.6579,4.0601
18,146,17,145,0.7920,1.0000,0.4978,6.7399,108.0297
18,146,17,147,0.1414,0.0000,1.7573,5.2417,7.1404
18,146,19,147,0.7920,0.0000,1.6012,2.8490,5.2422
20,146,21,146,0.4120,0.0000,0.6934,9.8168,10.9223
20,146,20,147,0.4120,0.0000,1.9902,6.7442,9.1464
20,146,19,147,0.7920,0.0000,1.7991,2.8490,5.4401
20,146,21,145,0.7920,1.0000,0.0725,8.4716,109.3361
18,147,17,147,0.4955,1.0000,1.0737,5.2417,106.8109
18,147,19,147,0.4955,0.0000,0.8601,2.8490,4.2046
